meeting_key,race_name,driver_number,driver_name,practice_1,practice_2,practice_3,sprint_quali,sprint_race,qualifying,race
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,2,Logan SARGEANT,17,5,7,,,14,11
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,81,Oscar PIASTRI,10,9,17,,,3,4
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,22,Yuki TSUNODA,16,18,10,,,17,16
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,11,Sergio PEREZ,2,4,14,,,16,6
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,44,Lewis HAMILTON,12,15,5,,,7,3
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,10,Pierre GASLY,13,8,4,,,10,18
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,18,Lance STROLL,9,6,13,,,12,14
1214,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,1,Max VERSTAPPEN,1,1,8,,,1,1
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,5,Gabriel BORTOLETO,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,26,Nikita BEDRIN,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,14,Fernando ALONSO,5,8,9,,,8,9
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,21,Maxwell ESTERSON,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,12,Jonny EDGAR,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,16,Charles LECLERC,7,1,7,,,6,7
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,8,Gregoire SAUCY,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,19,Tommy SMITH,,,,,,,
1215,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,63,George RUSSELL,1,20,6,,,18,6
